Year,Fuel_Type,Portion
2000-01,Coal ,41.53198452
2000-01,Gas,19.15279939
2000-01,Oil,33.94987829
2000-01,Renewables,5.365337803
2001-02,Coal ,41.74612517
2001-02,Gas,19.12301354
2001-02,Oil,34.33392191
2001-02,Renewables,4.796939376
2002-03,Coal ,41.73028265
2002-03,Gas,18.55659889
2002-03,Oil,35.49002005
2002-03,Renewables,4.223098404
2003-04,Coal ,42.53111163
2003-04,Gas,18.64553958
2003-04,Oil,34.65920349
2003-04,Renewables,4.1641453
2004-05,Coal ,42.21532404
2004-05,Gas,18.65808626
2004-05,Oil,34.99696753
2004-05,Renewables,4.129622171
2005-06,Coal ,41.80972778
2005-06,Gas,18.25192202
2005-06,Oil,35.92102859
2005-06,Renewables,4.017321613
2006-07,Coal ,40.9071517
2006-07,Gas,19.98764269
2006-07,Oil,35.11009273
2006-07,Renewables,3.995112876
2007-08,Coal ,40.46473138
2007-08,Gas,20.55982318
2007-08,Oil,34.90379463
2007-08,Renewables,4.071650809
2008-09,Coal ,40.22593306
2008-09,Gas,21.43653854
2008-09,Oil,34.23215731
2008-09,Renewables,4.105371094
2009-10,Coal ,38.20513318
2009-10,Gas,21.60049169
2009-10,Oil,35.34090435
2009-10,Renewables,4.85347078
2010-11,Coal ,35.96991471
2010-11,Gas,21.57961508
2010-11,Oil,37.46154533
2010-11,Renewables,4.988924885
2011-12,Coal ,35.21640442
2011-12,Gas,22.72110636
2011-12,Oil,37.07492474
2011-12,Renewables,4.987564486
2012-13,Coal ,32.62287102
2012-13,Gas,23.25562536
2012-13,Oil,38.48628851
2012-13,Renewables,5.635215106
2013-14,Coal ,31.4389494
2013-14,Gas,23.56954156
2013-14,Oil,39.12796055
2013-14,Renewables,5.863548489
2014-15,Coal ,32.33341104
2014-15,Gas,23.85299466
2014-15,Oil,37.91937678
2014-15,Renewables,5.894217524
2015-16,Coal ,32.39299949
2015-16,Gas,23.8667128
2015-16,Oil,37.77186548
2015-16,Renewables,5.968422228
2016-17,Coal ,31.61527547
2016-17,Gas,24.20446269
2016-17,Oil,37.97069557
2016-17,Renewables,6.209566268
2017-18,Coal ,29.94865107
2017-18,Gas,24.8758996
2017-18,Oil,38.97504147
2017-18,Renewables,6.200407867
2018-19,Coal ,29.11544285
2018-19,Gas,25.24002215
2018-19,Oil,39.17757155
2018-19,Renewables,6.466963453
2019-20,Coal ,28.44063237
2019-20,Gas,27.05835714
2019-20,Oil,37.52292933
2019-20,Renewables,6.978081162
2020-21,Coal ,28.79693574
2020-21,Gas,27.05869322
2020-21,Oil,36.09076655
2020-21,Renewables,8.053604492
2021-22,Coal ,27.52328349
2021-22,Gas,27.04783945
2021-22,Oil,36.54535877
2021-22,Renewables,8.883518293
2022-23,Coal ,25.92614504
2022-23,Gas,25.80882509
2022-23,Oil,38.85429019
2022-23,Renewables,9.41073968
